K00317	Osobná hygiena a kozmetika > Starostlivosť o vlasy
K00319	Osobná hygiena a kozmetika > Starostlivosť o vlasy
K00321	Osobná hygiena a kozmetika > Starostlivosť o vlasy
K00331	Osobná hygiena a kozmetika > Ostatné hygiena a zdravie
K00336	Osobná hygiena a kozmetika > Tvár a pleť
K00343	Osobná hygiena a kozmetika > Tvár a pleť
K00368	Osobná hygiena a kozmetika > Pánska kozmetika a holenie
K00375	Osobná hygiena a kozmetika > Pánska kozmetika a holenie
K00376	Osobná hygiena a kozmetika > Dezodoranty
K00377	Osobná hygiena a kozmetika > Pánska kozmetika a holenie
K00378	Osobná hygiena a kozmetika > Pánska kozmetika a holenie
K00384	Osobná hygiena a kozmetika > Ostatné hygiena a zdravie
K00391	Osobná hygiena a kozmetika > Ostatné hygiena a zdravie
K00393	Papierový program > Vlhčené utierky
K00396	Osobná hygiena a kozmetika > Ostatné hygiena a zdravie
K00401	Osobná hygiena a kozmetika > Ústna hygiena
K00407	Osobná hygiena a kozmetika > Ústna hygiena
K00408	Osobná hygiena a kozmetika > Ostatné hygiena a zdravie
K00420	Papierový program > Toaletný papier
K00421	Papierový program > Toaletný papier
K00422	Papierový program > Toaletný papier
K00423	Papierový program > Papierové utierky a obrúsky
K00424	Papierový program > Papierové utierky a obrúsky
K00425	Čistiace prostriedky > Univerzálne čističe
K00426	Čistiace prostriedky > Odmasťovače a odstraňovače vodného kameňa
K00427	Čistiace prostriedky > Odmasťovače a odstraňovače vodného kameňa
K00428	Čistiace prostriedky > Odmasťovače a odstraňovače vodného kameňa
K00429	Čistiace prostriedky > WC, kúpeľňa a sanita
K00430	Čistiace prostriedky > Univerzálne čističe
K00431	Čistiace prostriedky > Čističe podláh
K00432	Čistiace prostriedky > Čističe okien, skiel a nábytku
K00433	Čistiace prostriedky > Univerzálne čističe
K00434	Pracie prostriedky > Doplnky do prania
K00435	Čistiace prostriedky > Osviežovače vzduchu
K00437	Čistiace prostriedky > Kuchynská chémia a odpady
K00438	Upratovacie pomôcky > Rukavice
K00439	Upratovacie pomôcky > Rukavice
K00440	Upratovacie pomôcky > Rukavice
K00441	Upratovacie pomôcky > Rukavice
K00443	Obalový materiál a vrecia > Vrecia a sáčky
K00444	Obalový materiál a vrecia > Menu boxy a jednorazové obaly
N00001	Upratovacie pomôcky > Utierky, handry a mikrovlákno
N00002	Upratovacie pomôcky > Zásobníky, dávkovače a značenie
N00003	Čistiace prostriedky > Kuchynská chémia a odpady
N00004	Čistiace prostriedky > Abrazívne čističe a pasty
N00005	Čistiace prostriedky > Technická chémia
N00006	Čistiace prostriedky > Prípravky proti hmyzu a hlodavcom
N00007	Čistiace prostriedky > Technická chémia
N00008	Osobná hygiena a kozmetika > Starostlivosť o telo
N00010	Obalový materiál a vrecia > Menu boxy a jednorazové obaly
N00011	Upratovacie pomôcky > Hubky, drôtenky a špongie
N00012	Upratovacie pomôcky > Hubky, drôtenky a špongie
N00013	Upratovacie pomôcky > Hubky, drôtenky a špongie
N00014	Čistiace prostriedky > Dezinfekcia a bielidlá
N00015	Čistiace prostriedky > Dezinfekcia a bielidlá
N00016	Papierový program > Vlhčené utierky
N00017	Papierový program > Vlhčené utierky
N00018	Papierový program > Vlhčené utierky
N00019	Upratovacie pomôcky > Metly, kefy a lopatky
N00020	Upratovacie pomôcky > Metly, kefy a lopatky
N00021	Upratovacie pomôcky > Stierky, škrabky a sťahovače
N00022	Upratovacie pomôcky > Stierky, škrabky a sťahovače
N00023	Upratovacie pomôcky > Vedrá, žmýkače a vozíky
N00024	Upratovacie pomôcky > Vedrá, žmýkače a vozíky
N00025	Čistiace prostriedky > Abrazívne čističe a pasty
N00026	Čistiace prostriedky > Abrazívne čističe a pasty
N00027	Papierový program > Papierové utierky a obrúsky
N00029	Papierový program > Papierové utierky a obrúsky
N00030	Čistiace prostriedky > Univerzálne čističe
N00031	Pracie prostriedky > Doplnky do prania
N00032	Pracie prostriedky > Pracie prášky a gély
N00033	Pracie prostriedky > Pracie prášky a gély
N00034	Čistiace prostriedky > Čističe okien, skiel a nábytku
N00035	Čistiace prostriedky > Prípravky proti hmyzu a hlodavcom
N00036	Čistiace prostriedky > Prípravky proti hmyzu a hlodavcom
N00037	Obalový materiál a vrecia > Menu boxy a jednorazové obaly
N00038	Obalový materiál a vrecia > Príslušenstvo (viečka a doplnky)
N00039	Papierový program > Potravinová fólia a papier na pečenie
N00040	Papierový program > Potravinová fólia a papier na pečenie
